B_Fingerprint,C_Fingerprint,Product_Fingerprint,%conversion Based on the LC area percent (LCAP) at UV 254 nm of product,%conversion Based on the MS peak area percent of product
00001000000000000000000000010000010010000000000000000010000000000001000000000000000000000000110100000000000000000000000000000000100000010010000010000000000000000100000000000000001000000010000001000001000000000000001000000000000000000000000000000000001000000000000000000000000000000000010000000001000010000000000000001000000000000000000001000000000000000000100000111011010000000000010000000000000000000001000100000010010000010000001000001100000000000000100110000010000000000100000010000000000000000000000000000000,00000000000000000000001000000000011000000000000000000000000000000001000000000000010000000000000100000000000000000110100000000010010001000000000000000000100000000000000000000000000000010000000001000000100000100000001010000000000000100000100000000000000000000000100000000100000000000000000000000000010000000000000100000000001000000000000001000000000000000000100000000000000000000010000000000000110001000000000000100000000000000000110000000000000010000000000000000000000000000000000000000000000000100000000000000001,00001000000000000000001000010000011000000000000000000010000000000001000000000000010000000000000000000000000000000010100000000000010000001010000000000000100000000100000000000000000000010010000001000000100000100000001000001000000000100000100000000000000000000000100010000100010000000000000000000001010000000000000100001000001000000000000001000000000000100000100100111001010000000010010010000000110000000000000100100010010000010000111000000000000010000000000110000010000000000100000010100000000000100000000000000001,100.0,100.0
00000000000000010000000000000100010000000000000001000000000000001010000000000000000000000000000000000000000000001000000000000000000001011000000010000000000000000001000001000001000000000000000000000100000000000010001000000000000000100000000000000000000000000000000000000011001000000000000000001001000000000000010000000000000000000001000001000000001000000000100000000000010000000000000100000001001001000000000000000000100000000000000000000100000000000000000011001001001000100000000000000000000000000000000000001000,00000000000000000000001000000000011000000000000000000000000000000001000000000000010000000000000100000000000000000110100000000010010001000000000000000000100000000000000000000000000000010000000001000000100000100000001010000000000000100000100000000000000000000000100000000100000000000000000000000000010000000000000100000000001000000000000001000000000000000000100000000000000000000010000000000000110001000000000000100000000000000000110000000000000010000000000000000000000000000000000000000000000000100000000000000001,00000000000000010000001000000000011000000000000001000000000000001010000000000000010000001000000000000000000000000010100000000000010001011000000010001000100000000001000000000001000000010000000001000000100000100110001000000010000000100000100001000000000000000000100000000110001000000000000000000000010100000000011100000000001000000100000001000000001000101000101000000000010000000010000110000001111001000000000000100000000000000000110000000100000010000000000001001000001000101000000000000000010000100000000000001001,100.0,100.0
01000000000000100000100000000000010110000000010000000010010000000000000000000000010000000000100100000000000000000010000000000000100000010000000110000000000001000000000000000000001000000011100010000001000000000001000000000000000000000000000000001000001000000000000000000000000000000001010000000000000000001000000000000001000000000000000001000000000000100000100000010000000000000010000000000000101000000001010010001000000100010000000100000100000000000010000000000000000000000000100000000000000000000010000000000000,00000000000000000000001000000000011000000000000000000000000000000001000000000000010000000000000100000000000000000110100000000010010001000000000000000000100000000000000000000000000000010000000001000000100000100000001010000000000000100000100000000000000000000000100000000100000000000000000000000000010000000000000100000000001000000000000001000000000000000000100000000000000000000010000000000000110001000000000000100000000000000000110000000000000010000000000000000000000000000000000000000000000000100000000000000001,01000000000000000000001000000000011000000000010000000000000000000010000000000000010000000000000000010000000000000110100000000000010000001000000100000000100001000000000000000000000000010011100011000000100000100001001000000000000000100000100000001000000000000000100000000100000000000001000000000010010000001000000100000001001000000000000001000000000000100000100000010010000000000010000010000000111000000000010000100000000100010000110101000000000010000010000010000000000000000000000000000000001000100010000000000001,100.0,100.0
00000000000000010000000000000100010101000000000000000000000000001000000100000000000000000000100000000000000000000001000000000000000100000000000000000001000000000011000000000001000000000000000000000000000000001000001000000100000000110000000000000000000000000000000000000001000000000000000000000001000000000000000000100000000000000000010001000000000000000000100000000000000001000000000000000001000000000000000000100001100000000000000000000000000000000000000010001110000000110000010000000000000000000000000001000000,00000000000000000000001000000000011000000000000000000000000000000001000000000000010000000000000100000000000000000110100000000010010001000000000000000000100000000000000000000000000000010000000001000000100000100000001010000000000000100000100000000000000000000000100000000100000000000000000000000000010000000000000100000000001000000000000001000000000000000000100000000000000000000010000000000000110001000000000000100000000000000000110000000000000010000000000000000000000000000000000000000000000000100000000000000001,00000000000000010000001000000000011101000000000000000000010000001000000100000000010000000000000000000000000000000011100000000000010100001000000000000001100010001011000000000001000000010000000001000000100000101100001000000010000010100000100000000000000000000000100010000100000000000000000000000000010000000000000100100000001000000000010001000000000000101000101000000000000001000010000010000001110000000000000000100000000000000000110000000000000010000000000000000100000000011100010000000000000000100000000001000001,99.4,92.3
00000000000000000001000000000000010010000000000000010000000000000000000000000100000000000100101000000000000000010110000010000000000000000000000010000000000000000000000100010000001000000000000000000000000000100000000000000000000001000000000000000000001000000000000000000000000000000000010000000101000000000000000000000000000000000000000000001010000001000000000000000000000000000000000000000000100000000000000000000010000000000000010000000000000000000000000010000000000010000000100000000000001000000000000010010110,00000000000000000000001000000000011000000000000000000000000000000001000000000000010000000000000100000000000000000110100000000010010001000000000000000000100000000000000000000000000000010000000001000000100000100000001010000000000000100000100000000000000000000000100000000100000000000000000000000000010000000000000100000000001000000000000001000000000000000000100000000000000000000010000000000000110001000000000000100000000000000000110000000000000010000000000000000000000000000000000000000000000000100000000000000001,00000000000000000000001000000000011000000000000000000000000000110000000000000000010000000000000000000000000000000010100000000000010000000000000000000000100000001100000000000000000000010000000001000000100000100000001000000000000000100000100000000000000000000000100000000100000000000001000000000001010000000000000100000000001000000000000001000010000000000000100001000000000000000010000000000000110000000100000010100000000000000000110000000010000010000000000000000000000000000000000000000000001000100000000000000011,74.7,59.0
00000000000000000000000001000100000000000011000000000001000000011000000000000000000000000000100000000000000000000000000000000100000000000000000000000000000000000000000000100011000000000000000000000000000000000000001000000000000000100000000000000000000000000000000000000001000000000000000001000001001000000000000000000000000000001001000011000000000000000000100000000000000000000010000001000100000000000000000000010000000000010000000100000000010000000000000000000000100000000000001000000000000000000000000000000001,00000000000000000000001000000000011000000000000000000000000000000001000000000000010000000000000100000000000000000110100000000010010001000000000000000000100000000000000000000000000000010000000001000000100000100000001010000000000000100000100000000000000000000000100000000100000000000000000000000000010000000000000100000000001000000000000001000000000000000000100000000000000000000010000000000000110001000000000000100000000000000000110000000000000010000000000000000000000000000000000000000000000000100000000000000001,00000000000000000000001001000000011000000001000000000000000000001000000000000000010000000000100000000000000000000010100000000100010000001000000100000000100000000000000000000001000000010000000001000000100000100000001000000000000100100000100000000000000000000000100000100100000000000000000001000000010000000000000100000000001000000001000011000000000100100000100001000000000001000010000011000100110000000000000001110000000000010000110101000000000010000000000000000000100000000010001000000000000000100000000000000001,75.3,30.3
00000000000110000000000001100000010110010000000000000010000000000000000000000000000000000000111100000000000010001000000100000000100000010000000010000000000000000011000000000000001000010000000000100001000010000000001000000000000000000000000000000000001010000000000000000000000000100000010000000100000011100000001000101000000000100000000001001000000000000000100111010000000000000000010000000000000000000001000000000010000000100000000000100110000000000000000000000000000000000000000000000000000000100000000000010000,00000000000000000000001000000000011000000000000000000000000000000001000000000000010000000000000100000000000000000110100000000010010001000000000000000000100000000000000000000000000000010000000001000000100000100000001010000000000000100000100000000000000000000000100000000100000000000000000000000000010000000000000100000000001000000000000001000000000000000000100000000000000000000010000000000000110001000000000000100000000000000000110000000000000010000000000000000000000000000000000000000000000000100000000000000001,00000100000110000000001000100000011000010000000000000000001000000000000000000000010000000000001000000000000000001010100100000000010000001000000010000001100000000011000000000000000000010010000001100000100010100000001000000000000000100000100000000000000010001000100010000100010000100000000000000100010001100000001100000100001000100000000001000000000000100000100011010000000000000010010010000000110000000001000000100010000000100000110000100010000010000000000000000000000000000000000000000000000000100000000000010001,100.0,100.0
00000000000000001000000000000100010001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000001000010000000000001000000001000000010000000100010001000000000000000000000000000000001000000000000000000000001000000000000000000000000100001000010000001000000000100000000100000010000000000100000000000100000100000000000000000000000000000000000000000000000000000010000000010000001000000000000000000000000000000000000000000000000,00000000000000000000001000000000011000000000000000000000000000000001000000000000010000000000000100000000000000000110100000000010010001000000000000000000100000000000000000000000000000010000000001000000100000100000001010000000000000100000100000000000000000000000100000000100000000000000000000000000010000000000000100000000001000000000000001000000000000000000100000000000000000000010000000000000110001000000000000100000000000000000110000000000000010000000000000000000000000000000000000000000000000100000000000000001,00000000000000000000001000000000011001000000000000000000000000000000000000000000110000000000000000000000000100000010100000000000010000101000000000000000100000000000000000000000000000010001000001000000100001100000001000000010000000100000100000100000000000000000100000010100000000001000000000100001010000000000000100000000001001000000000001000000100100101000101000010000000000000010000010100000110000100000000000101000000000000000110000000000000010000000001000000001000000000000000000000000000000100000000000000001,100.0,100.0
00000000000100100000000000000100010000000000000000000000000000010000000000000000000000000001001000000000000000000010000000010000000000000010000000000000000000000000000000100000000000010000000001000000000000000000001000000000000000100000000100000000000000000000011000000001000000000010000000000001010000000000000000000000000000000000000001000000000000000000100000010000000000000000010000000000100000000000000000000000000100000000010100100000000010000000000000010000010000000000000000000010000000000000010001000000,00000000000000000000001000000000011000000000000000000000000000000001000000000000010000000000000100000000000000000110100000000010010001000000000000000000100000000000000000000000000000010000000001000000100000100000001010000000000000100000100000000000000000000000100000000100000000000000000000000000010000000000000100000000001000000000000001000000000000000000100000000000000000000010000000000000110001000000000000100000000000000000110000000000000010000000000000000000000000000000000000000000000000100000000000000001,00000100000100100000001000000000011001000000000000000000000000000000000001000000010000000000001000000000000000000010100000000000010000001010000000000000100000000001010000000000000000010000000001000000100000100000001000000000000000100000100100000000000000000000111010000100010000000000000000000001010000000000000100000000001000000000000001000000000000100000100000010000000000000010010010000000110000001000000000100000000100000000110000100000000010000000000000000000010000000000000000000000000000100000010001000001,0.0,0.0
10000000000000000000001000000000010010000001000000000010000000011000000011000000000000000000100100000000000000000001000000000000100000010000000010000000000000000000000010001101001000000000000000000001000000000000001000000000000001000000000000000000001000000000000000000000000000000000010001000000000000000000010000000001000000000000000001000000001000000100100000010100000000001010000000000000000000000001000000000000000000000000100000000101000000000000000000000000001000001000000000000000000000000000000000000001,00000000000000000000001000000000011000000000000000000000000000000001000000000000010000000000000100000000000000000110100000000010010001000000000000000000100000000000000000000000000000010000000001000000100000100000001010000000000000100000100000000000000000000000100000000100000000000000000000000000010000000000000100000000001000000000000001000000000000000000100000000000000000000010000000000000110001000000000000100000000000000000110000000000000010000000000000000000000000000000000000000000000000100000000000000001,00000000000000000000001000000000011000000001000000000000000000011000000011000000010000000000000000000000000000000011100000000000010000001000000000000000100000100000000010000101000000010000000001100000100010100000001000000000000000100000100000000000000000000000100000000100000000000000000001000000010000000000010100000001001000000010000001000000000000100000100000010000000000000010000010000000110000000000000000100000000000000000110000000001000010000000000000100001000000000000010010000000100000100000000000000001,96.5,98.0
