B_Fingerprint,C_Fingerprint,Product_Fingerprint,%conversion Based on the LC area percent (LCAP) at UV 254 nm of product,%conversion Based on the MS peak area percent of product
11111111011111001111111101111111100111111111111101111101111111111011111111101001111001101111101111111101111111111111010111111011111101111111111111110011001111110111011010111101111101111111111111111110111011111111001111100011011111111110110001111011111111111011111111011111111111111011111101111111011111111111111010110111001011111111111111101111111101111111111111110011111111111111111101111111111111011111010011111111011111010111011010111011111110111111100101100011111101111110111111111101000101111101011110101011,11110100010101101101111000111001110010001111011111011111000101111001011100000111101001001100110010101001101111110001000111111011010010101100100111101111111011101100111100101100001110010101111100101001001101001110001001100001010001111000011100011010110110101011101100111011100111111111111001110111100111100100111001011111010111110010010111010011110110100111111011010001010101101101111110001111110011111110011011100111011000011111011110010110111011111011000111001111011000111111111101000110110100111011110011100011,11111100011111101111111101111111110111011111111111011111001111111001111101101111111011101111110111111111101111111101010111111011011010111111101111111111111011101111111110111111001111111101111111111111111111111111101111111111111111111010111101011011110111111010011111111111111111111111111011110111111111101111111011111111011111111111110111011111110111111111111111010011110111101101111111111111111111111111011011111111011110011111111110011111111111111111101111101111111100111111111101111110110111111011111111100111,100.0,100.0
01111011000101100111011111111101111111101010111011111111111101010101110110111011110111111100010110101111001110111011000101110111101011011011111011011110110111100111000111101111101001111101001111111111010101111110001111011111111111111000111110110010111111111011111111100011111011001101111101010110100111101011111101111110001101111111111001111111111111010111011111111011011101111101100101001111101100010110111101111110110110110101101011011110101010111011101111101110101011111100011101011010001010011100111111101111,11110100010101101101111000111001110010001111011111011111000101111001011100000111101001001100110010101001101111110001000111111011010010101100100111101111111011101100111100101100001110010101111100101001001101001110001001100001010001111000011100011010110110101011101100111011100111111111111001110111100111100100111001011111010111110010010111010011110110100111111011010001010101101101111110001111110011111110011011100111011000011111011110010110111011111011000111001111011000111111111101000110110100111011110011100011,11111111110101101101111111111111111111111111011111111111110101111111110101100111111111111100110111111101101111110011001111111111010011111101110111111111111011101100110110101111111111110101111111111011101111101110111111011110111111111010111111011010110111101011011111101111101111111111111111110011100111101110111101011110011111111111111111111111111111111111111011111111101111111111111110111111111111111111011011111111111111111111111111111111111111111111111111111111111110111111111111011110110111111111111111111111,100.0,100.0
11111111111111110111111101011111011111110111111011111101111111111111111111111111111111111111111111111111110111111111111111111111111111101111111111111111111111111111111011111111111111111111111111111101111111011101011101111111111111111101111111110111111111111001101101111111110111111011111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111011111011111101111111111111110111111111111111111101101111111111111110111111111111111111111111111110111111111111011111111101111111111110101,11110100010101101101111000111001110010001111011111011111000101111001011100000111101001001100110010101001101111110001000111111011010010101100100111101111111011101100111100101100001110010101111100101001001101001110001001100001010001111000011100011010110110101011101100111011100111111111111001110111100111100100111001011111010111110010010111010011110110100111111011010001010101101101111110001111110011111110011011100111011000011111011110010110111011111011000111001111011000111111111101000110110100111011110011100011,11111111111111111111111101111111111111111111111111111111111111111111111111111111111011111111111111111111111111110111111111111111111111111111111111111111111111111111111110111110111110011111111111111111111111011111011111111111111111111111111111111111111111111011101110111011110111111111111111110111111111111111111101111111111111111111111111110111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111011111111111111111111111111111111111111111111110111101111111111111111,100.0,100.0
11110011100110100101011111111010001011101101110000110101010111100011000111111111111011110111010101101101001100110111101111001101111100110101111111001101001110100100011010111111011000111100111101110111110111110101100111100110101111011000100100110000101110111111101111100110010000101101100101011111011010110100111011001010000011101011001101000101001110110111110000111011011110100011101000000100111100010111100011001010010101111001011111101101110100110110100010111110011011110110000110011111011000010011010111001100,11110100010101101101111000111001110010001111011111011111000101111001011100000111101001001100110010101001101111110001000111111011010010101100100111101111111011101100111100101100001110010101111100101001001101001110001001100001010001111000011100011010110110101011101100111011100111111111111001110111100111100100111001011111010111110010010111010011110110100111111011010001010101101101111110001111110011111110011011100111011000011111011110010110111011111011000111001111011000111111111101000110110100111011110011100011,11111111111111111101111111111011110011111111011111011111011101111001111101011111111011101111111110101001111111111011101111111011110110111101110111111111111111101110111110111011011110010111111111111011111111111111101101110110111111111111111111111110111111111011011110101011101111111111011111111011111111110110111011011110011111110011111111011111011110111111111011011011100111101111111110111111111110111111001011111111111101011111111111011111111111111111011111111111011011111111111111011110111111101111111111111110,99.4,92.3
01001001001010001011001000110111000000000001110001110010100001111111001100100101111110011111111000100101001001000100001111100000010110010011100111101011001010011110110010100101100010111011001111111111011011001110001010100111111011000011100000000100100011000011100011110111100001101101110010110001010000101001101100111000001000101001111000101001011000100010001111010011111110110001110111101111010011101101000001010110101001000100111100010011011000011011010001001100000001011001010101100110110100110101100000100100,11110100010101101101111000111001110010001111011111011111000101111001011100000111101001001100110010101001101111110001000111111011010010101100100111101111111011101100111100101100001110010101111100101001001101001110001001100001010001111000011100011010110110101011101100111011100111111111111001110111100111100100111001011111010111110010010111010011110110100111111011010001010101101101111110001111110011111110011011100111011000011111011110010110111011111011000111001111011000111111111101000110110100111011110011100011,11111100010101101101111010111001110010101111111111111111001101111001110110010111110011011111110110101001101111110001000111111011110110101100100111101111111011111101110101101000101111110111111110111101001101001110101101110100011101111001111100011010110110111110011100101011100101111111111111110011100111101100111011111110111111110010110111011011010100101111111011011101111101111101111110111111110010111111011011100111011000010111011110110111111111111011000111001111111001111111111101010110110100111011110011101010,74.7,59.0
11110110001101000001011100111100010011111001100011000110101100101111110101110100110111110111101111111001011110101101010011011110000111011101000110111011100100001101101101111111011000001101001101100000010101010010010111000110100000011001011000000110101010000001111101101011001011101110001110101110100011010111110010111110101001101010011110011110001010100110000110101110010111001010001111101100100100101011111001001011011100110111001011001010101001010001011011011010001111110111011101110000011100101100100111110101,11110100010101101101111000111001110010001111011111011111000101111001011100000111101001001100110010101001101111110001000111111011010010101100100111101111111011101100111100101100001110010101111100101001001101001110001001100001010001111000011100011010110110101011101100111011100111111111111001110111100111100100111001011111010111110010010111010011110110100111111011010001010101101101111110001111110011111110011011100111011000011111011110010110111011111011000111001111011000111111111101000110110100111011110011100011,11111110111101101101111100111111110111111111111111011111100101111101110101100111100111111101111111111011111111111111000111111111010111111101110111111111111111101101111111111011111111110101111101101111011101001110111111100111111011111001111101011010111111101010011111101011101111111111111011111011100111111101111001111111111111111010011111010111111111100111111011111111011111101101111111111111110110111111111011110111011000111111111111011110111011111011101111111111111111111111111111110110111110101011111111110111,75.3,30.3
11111011011111110111111111101111000011111100101111111101111111111011011111000111110011111100111111111101110111011110010111111001111111111111110111111111011111111111111010101101011010111111011111111111010001101111011111100111011111111100110000101111111110111001111111010111001111111111111111111111100111111111111111111111101101000011111111111111101101101111010101111111011111111011110101101111111111111110010001111111111111111101111010111111111111111011000011101110111111011111011111111101111101111101011011001001,11110100010101101101111000111001110010001111011111011111000101111001011100000111101001001100110010101001101111110001000111111011010010101100100111101111111011101100111100101100001110010101111100101001001101001110001001100001010001111000011100011010110110101011101100111011100111111111111001110111100111100100111001011111010111110010010111010011110110100111111011010001010101101101111110001111110011111110011011100111011000011111011110010110111011111011000111001111011000111111111101000110110100111011110011100011,11111100010101111101111010111111110011011111111111111111100111111001111111100111111011011100111111111011101111110001010111111011111110111111100111111111111111111111111110101111001110010101111111111111001101101111111111101111111011111110111101111011110110111011111110101111101111111111111111111011100111110111111111111111111111110011111111111011111111101111111011011111011101111101111111111111111110111111011011111111111110111111111110111111111111111011001111101111111011111111111111110110111110101011111111100111,100.0,100.0
00110111010000000100111101100111010111101110100000110101010101110011000101011000111001100001010100001001010110010100100000100101001000001010100110000100110110100101000001111111111110011101111110110001011001001001001100111110010111111100100001011001101011010100100101100010000101101001110101011110010100010110111101110111100010100111001010110111001101001111100101010101010101101110100000010010101100010110110101011011001100001011001011000100110000110100001011100010011010010100110100010100011010001100010001000000,11110100010101101101111000111001110010001111011111011111000101111001011100000111101001001100110010101001101111110001000111111011010010101100100111101111111011101100111100101100001110010101111100101001001101001110001001100001010001111000011100011010110110101011101100111011100111111111111001110111100111100100111001011111010111110010010111010011110110100111111011010001010101101101111110001111110011111110011011100111011000011111011110010110111011111011000111001111011000111111111101000110110100111011110011100011,11111100110101101101111100111011110111011111111111111111000111111001110111101111101011111101111111001101111111110111010111111111010011111111100111101111111011101101110111111111001110010111111111111001101101001110111111111111111111111000111101111011111111101110001110101111100101111111011111110011111111100110111001111111011111110111010111111011011111111111111011110011010101101111111110111111111111111111011111111111011110011111111111111110111111111011111111101111011110111111111101011111110110101011111011100110,100.0,100.0
11110011011000101111111001111011000011011101101011111101011111110001011111001101110111110101111011101001100110010001010011101001111010011110110011101100111101111111110010111101011001011110010111111100010101001111001110011011101110111100110010111111101010111000110111011111001001101011111101011110011101110110111101110010101111000110001111010111101100001111110011101111011101101111101110001111110100000110110101001111111100001111101010111110111101110001000111111111011111111101011111111101010100010101011001000001,11110100010101101101111000111001110010001111011111011111000101111001011100000111101001001100110010101001101111110001000111111011010010101100100111101111111011101100111100101100001110010101111100101001001101001110001001100001010001111000011100011010110110101011101100111011100111111111111001110111100111100100111001011111010111110010010111010011110110100111111011010001010101101101111110001111110011111110011011100111011000011111011110010110111011111011000111001111011000111111111101000110110100111011110011100011,11111111011101101101111000111011110011111111111111111111010111111001111111101111101111111101111011101111101111110101010111111011111110111111110111111111111111111111110110111011001111010111111111111101001101001111101111011111111111111110111111111011111110101010011111101111101101111111111011111011111111110100111101111110111111110110010111011011111111101111111011111111000101101101111111111111110110111111111111111111111110011111111110111111111111111011001111111111111011111111111111110111110110101011111011100110,0.0,0.0
11111111001111000111011111011111111011110001100101111101100111111111101111001111110101100011011111111101111111011111001111011000111111000111011111100101001110111111011010111101011011101111001111111100011101011100111011100010011101111110100100101110111010111011111111010111100111111111111101011111110110011100111011011111111001100111111101101111101001111111101101111011111110010001010111101111111111011110011111010111111101000001111111111111110111111011101101110001101110111110101110001001011101101110011011000101,11110100010101101101111000111001110010001111011111011111000101111001011100000111101001001100110010101001101111110001000111111011010010101100100111101111111011101100111100101100001110010101111100101001001101001110001001100001010001111000011100011010110110101011101100111011100111111111111001110111100111100100111001011111010111110010010111010011110110100111111011010001010101101101111110001111110011111110011011100111011000011111011110010110111011111011000111001111011000111111111101000110110100111011110011100011,11111110011101101101111101111011111011011111111111111111010101111101110101001111110111001101110010001111101111111011001111111011110110111100111111101111111011111110110101111111011110010101111101111011011101011110011111100110111011111001111101111110110111111010101110101111100101111111111111110011100111100100111011011110010111111111010111010111111110111111111011011011100101111101111110111111111110111110011011110111111101011111111111011111111011111011001111111111011110111111111111010111110110101111111011100110,96.5,98.0
