f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,name
227.7488,428.757,681.7807999999999,836.0939999999998,1094.0,2064.0,3152.0,3408.0,30.0,62.0,96.0,124.0,158.0,390.0,560.0,636.0,14.571,32.571000000000005,48.5536,57.75000000000002,LASYOU
227.7488,428.7569999999999,681.7807999999999,836.0939999999998,1094.0,2064.0,3152.0,3408.0,30.0,62.0,96.0,124.0,158.0,390.0,560.0,636.0,14.571000000000002,32.571000000000005,48.55360000000002,57.75000000000002,LASYOU
227.7488,428.7569999999999,681.7807999999999,836.0939999999999,1094.0,2064.0,3152.0,3408.0,30.0,62.0,96.0,124.0,158.0,390.0,560.0,636.0,14.570999999999998,32.571000000000005,48.5536,57.75000000000004,LASYOU
144.0441,255.969,399.6456,462.2129999999999,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.944199999999999,19.126800000000006,27.591000000000005,31.000200000000007,HKUST-1
144.0441,255.969,399.6456,462.2129999999999,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.944199999999999,19.126800000000003,27.591,31.00020000000001,HKUST-1
144.0441,255.969,399.6455999999999,462.2129999999999,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.9442,19.126800000000006,27.591,31.00020000000001,HKUST-1
144.0441,255.969,399.6456,462.2129999999999,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.944199999999999,19.126800000000003,27.591,31.000200000000003,HKUST-1
144.0441,255.969,399.6456,462.2129999999999,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.944199999999999,19.126800000000006,27.591,31.000200000000007,HKUST-1
144.0441,255.969,399.6456,462.2129999999999,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.944199999999999,19.126800000000003,27.591,31.000200000000003,HKUST-1
144.0441,255.969,399.6456,462.2129999999999,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.9442,19.126800000000006,27.591,31.000200000000007,HKUST-1
144.0441,255.969,399.6456,462.2129999999999,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.944199999999999,19.126800000000006,27.591,31.000200000000014,HKUST-1
144.0441,255.969,399.6456,462.2129999999999,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.944199999999999,19.126800000000006,27.591000000000005,31.000200000000007,HKUST-1
144.0441,255.969,399.6456,462.2129999999999,711.0,1260.0,1896.0,1944.0,18.0,36.0,54.0,66.0,90.0,216.0,294.0,306.0,8.944199999999999,19.126800000000003,27.591,31.00020000000001,HKUST-1
